Data, Gold 
21/set/17,1366.70
20/set/17,1388.30
19/set/17,1382.60
18/set/17,1380.30
15/set/17,1395.10
14/set/17,1399.20
13/set/17,1396.70
12/set/17,1401.80
11/set/17,1404.10
08/set/17,1419.30
07/set/17,1418.00
06/set/17,1405.90
05/set/17,1411.20
04/set/17,1338.08
03/set/17,1341.22
01/set/17,1397.10
31/ago/17,1388.50
30/ago/17,1380.90
29/ago/17,1385.70
28/ago/17,1382.60
25/ago/17,1364.80
24/ago/17,1358.90
23/ago/17,1361.70
22/ago/17,1358.60
21/ago/17,1364.10
18/ago/17,1358.80
17/ago/17,1359.90
16/ago/17,1350.80
15/ago/17,1347.50
14/ago/17,1358.10
11/ago/17,1361.40
10/ago/17,1357.80
09/ago/17,1347.00
08/ago/17,1330.40
07/ago/17,1332.00
04/ago/17,1331.70
03/ago/17,1341.60
02/ago/17,1345.50
01/ago/17,1346.30
31/jul/17,1340.70
28/jul/17,1342.60
27/jul/17,1333.70
26/jul/17,1322.40
25/jul/17,1323.20
24/jul/17,1325.40
21/jul/17,1325.90
20/jul/17,1317.10
19/jul/17,1313.70
18/jul/17,1313.50
17/jul/17,1305.40
14/jul/17,1298.80
13/jul/17,1288.50
12/jul/17,1291.20
11/jul/17,1287.70
10/jul/17,1286.00
07/jul/17,1282.40
06/jul/17,1296.70
05/jul/17,1293.90
04/jul/17,1227.55
03/jul/17,1290.90
30/jun/17,1314.00
29/jun/17,1317.70
28/jun/17,1320.80
27/jun/17,1318.40
26/jun/17,1317.70
23/jun/17,1327.70
22/jun/17,1320.40
21/jun/17,1317.10
20/jun/17,1315.20
19/jun/17,1318.80
16/jun/17,1328.50
15/jun/17,1326.80
14/jun/17,1348.20
13/jun/17,1341.20
12/jun/17,1341.50
09/jun/17,1343.90
08/jun/17,1351.90
07/jun/17,1365.60
06/jun/17,1370.00
05/jun/17,1355.60
02/jun/17,1353.10
01/jun/17,1343.20
31/mai/17,1348.50
